season,voting_phase,total_weeks,rank_accuracy,percentage_accuracy,accuracy_difference,different_predictions,different_prediction_rate
1,rank_regular,5,0.0,0.2,0.2,5,0.8333333333333334
2,rank_regular,8,0.375,0.5,0.125,6,0.75
3,percentage_regular,9,0.2222222222222222,0.2222222222222222,0.0,7,0.7
4,percentage_regular,9,0.2222222222222222,0.2222222222222222,0.0,8,0.8
5,percentage_regular,10,0.3,0.4,0.10000000000000003,9,0.9
6,percentage_regular,9,0.0,0.2222222222222222,0.2222222222222222,8,0.8
7,percentage_regular,9,0.3333333333333333,0.4444444444444444,0.1111111111111111,6,0.6
8,percentage_regular,9,0.0,0.2222222222222222,0.2222222222222222,10,0.9090909090909091
9,percentage_regular,10,0.1,0.0,-0.1,9,0.9
10,percentage_regular,9,0.3333333333333333,0.3333333333333333,0.0,8,0.8
11,percentage_regular,10,0.0,0.4,0.4,10,1.0
12,percentage_regular,9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,8,0.8
13,percentage_regular,10,0.1,0.2,0.1,8,0.8
14,percentage_regular,9,0.2222222222222222,0.2222222222222222,0.0,9,0.9
15,percentage_regular,8,0.125,0.25,0.125,9,0.9
16,percentage_regular,9,0.1111111111111111,0.3333333333333333,0.2222222222222222,8,0.8
17,percentage_regular,8,0.375,0.125,-0.25,10,0.9090909090909091
18,percentage_regular,8,0.125,0.125,0.0,10,1.0
19,percentage_regular,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,11,1.0
20,percentage_regular,9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,10,1.0
21,percentage_regular,6,0.0,0.3333333333333333,0.3333333333333333,11,1.0
22,percentage_regular,8,0.125,0.375,0.25,10,1.0
23,percentage_regular,8,0.125,0.125,0.0,7,0.6363636363636364
24,percentage_regular,9,0.3333333333333333,0.3333333333333333,0.0,8,0.8
25,percentage_regular,8,0.0,0.125,0.125,10,1.0
26,percentage_regular,4,0.0,0.0,0.0,2,0.5
27,percentage_regular,8,0.0,0.125,0.125,8,0.8888888888888888
28,rank_bottom_two,7,0.42857142857142855,0.2857142857142857,-0.14285714285714285,10,0.9090909090909091
29,rank_bottom_two,9,0.0,0.3333333333333333,0.3333333333333333,11,1.0
30,rank_bottom_two,9,0.0,0.2222222222222222,0.2222222222222222,10,1.0
31,rank_bottom_two,10,0.0,0.1,0.1,6,0.6
32,rank_bottom_two,9,0.1111111111111111,0.5555555555555556,0.4444444444444445,10,0.9090909090909091
33,rank_bottom_two,7,0.0,0.0,0.0,8,0.8888888888888888
34,rank_bottom_two,8,0.0,0.375,0.375,11,1.0
